V in mV,50,100,200,400
-160.00,,,0.08,-0.021
-150.00,,,0.035,
-140.00,,,0.007,
-130.00,,0.063,,0.017
-120.00,0.056,0.024,0.0035,
-110.00,0.077,,0.038,0.007
-100.00,0.22,0.021,,
-90.00,0.31,0.084,0.042,
-80.00,0.42,0.14,0.077,0.0035
-70.00,0.65,0.26,0.14,-0.038
-60.00,0.75,0.36,0.14,0.014
-50.00,0.85,0.46,0.27,0.024
-40.00,0.9,0.62,0.32,0.13
-30.00,0.92,0.7,0.52,0.16
-20.00,0.95,0.8,0.56,0.26
-10.00,1,0.87,0.72,0.36
0.00,,0.92,0.76,0.42
10.00,,0.94,0.83,0.55
20.00,,0.98,0.89,0.63
30.00,,,0.94,0.74
40.00,,,0.97,0.8
50.00,,,0.95,0.89
60.00,,,0.97,0.93
70.00,,,,0.96
80.00,,,0.98,0.95
